Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...)",Columbia school,Columbia Affiliates,Which Specific Columbia Program?,Source,Specific Study DOI,Notes,Author Full Names,Article Title,Source Title,Affiliations,Funding Text,ISSN
"Electric Power Research Institute, EPRI Project; New Jersey Institute of Technology Undergraduate Summer Research Program",,2018,,,,,0,10.1007/s10531-018-1552-8,,"Russell, K. N.; Russell, G. J.; Kaplan, K. L.; Mian, S.; Kornbluth, S.",Increasing the conservation value of powerline corridors for wild bees through vegetation management: an experimental approach,BIODIVERSITY AND CONSERVATION,New Jersey Institute of Technology; Rutgers University System; Rutgers University New Brunswick; Rutgers University System; Rutgers University Newark; Rutgers University New Brunswick; Columbia University; Columbia University Teachers College,"We would like to thank Sam Droege and his team of interns and associates at the Patuxent Wildlife Research Center for help in collecting, processing and identifying bees. Thanks also to Rick Johnstone from IVM Partners for coordinating with us and pushing this work forwards. Thanks to William Rees from Baltimore Gas and Electric for help identifying control sites and allowing us access to BGE transmission line sites. We also appreciate the support from Mike Silva of Enertech, who championed this project from the beginning. Funding for this research was provided by the Electric Power Research Institute (http://www.epri.com/), EPRI Project ID 1-070744-01-01 and the New Jersey Institute of Technology Undergraduate Summer Research Program. Study design, data collection and analysis, and preparation of the manuscript were all exclusively conducted by the study authors with no input from the funding agency. Permission for sampling on the Columbia (Howard County) and Davidsonville (Ann Arundel County) sites was given by William T. Rees, Jr. (Forestry Management-Director, Engineering and Standards, Baltimore Gas & Electric). Permission for sampling on the Patuxent Wildlife Research Center was granted by Sandy C. Spencer, USFWS, Supervisory Wildlife Biologist, Patuxent Wildlife Research Refuge.",0960-3115
National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Natural Science Foundation of Heilongjiang Province(Natural Science Foundation of Heilongjiang Province); China and Province Postdoctoral Funds; Open Foundation of the State Key Laboratory of Fluid Power Transmission and Control,,2018,,,,,0,10.1016/j.isatra.2017.10.006,,"Yang, Chifu; Zhao, Jinsong; Li, Liyi; Agrawal, Sunil K.",Design and implementation of a novel modal space active force control concept for spatial multi-DOF parallel robotic manipulators actuated by electrical actuators,ISA TRANSACTIONS,Harbin Institute of Technology; Yanshan University; Yanshan University; Harbin Institute of Technology; Columbia University,"The authors would like to thank the financial support from National Natural Science Foundation of China (51305095 and 51505412), Natural Science Foundation of Heilongjiang Province (QC2013C045), China and Province Postdoctoral Funds, and Open Foundation of the State Key Laboratory of Fluid Power Transmission and Control (GZKF-201304). The authors would like to thank Joon and Paul of Columbia University in New York for their help in the experiment of this paper, the Editor, Associate Editors, and anonymous reviewers.",0019-0578
National Social Science Fund; Unified Domestic Market under the Background of a Trade Power; Humanities and Social Sciences Project of the Ministry of Education; Research on the Construction and Implementation Path of Modern Circulation System for Rural Comprehensive Revitalization,,2024,,,,,0,10.3233/JCM-237067,,"Ran, Jingfei; Ma, Hui; Ran, Runyang",The role of big data and IoT in logistics supply chain management of e-commerce,JOURNAL OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING,Zhengzhou University of Light Industry; Columbia University,"This research was supported by National Social Science Fund 22BJY013 Research on the Mode Selection and Implementation Path of the Construction of a Unified Domestic Market under the Background of a Trade Power; 21YJA790046, Humanities and Social Sciences Project of the Ministry of Education, Research on the Construction and Implementation Path of Modern Circulation System for Rural Comprehensive Revitalization.",1472-7978
"U.S. Eunice Kennedy Shriver National Institute of Child Health and Human Development: Gender, Power and Latino Men's HIV Risk",,2018,,,,,0,10.1177/1097184X17695036,,"Munoz-Laboy, Miguel; Severson, Nicolette; Garcia, Jonathan; Parker, Richard G.; Wilson, Patrick","I Kick It to Both, but not in the Street: Behaviorally Bisexual Latino Men, Gender, and the Sexual Geography of New York City Metropolitan Area",MEN AND MASCULINITIES,Pennsylvania Commonwealth System of Higher Education (PCSHE); Temple University; Oregon State University; Columbia University,"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Data for this analysis were generated from a study sponsored by the U.S. Eunice Kennedy Shriver National Institute of Child Health and Human Development: Gender, Power and Latino Men's HIV Risk (grant #1R01HD056948-01A2, principal investigator: M. Munoz-Laboy).",1097-184X
DARPA Microsystems Technology Office (MTO) under the COEDM (Computing with Optically Enabled Data Movement) project; DARPA Microsystems Technology Office (MTO) under PERFECT (Power Efficiency Revolution for Embedded Computing Technologies) program; U.S. Department of Energy (DoE) National Nuclear Security Administration (NNSA) Advanced Simulation and Computing (ASC) program; Sandia National Laboratories(United States Department of Energy (DOE)); Freedom Photonics LLC under DOE SBIR/STTR Award; U.S. Department of Energy (DOE)(United States Department of Energy (DOE)),,2016,,,,,,,,"Bahadori, Meisam; Rumley, Sebastien; Polster, Robert; Bergman, Keren",Loss and Crosstalk of Scalable MZI-based Switch Topologies in Silicon Photonic Platform,2016 IEEE PHOTONICS CONFERENCE (IPC),Columbia University,"This work is supported by DARPA Microsystems Technology Office (MTO) under the COEDM (Computing with Optically Enabled Data Movement) project and the PERFECT (Power Efficiency Revolution for Embedded Computing Technologies) program, and by the U.S. Department of Energy (DoE) National Nuclear Security Administration (NNSA) Advanced Simulation and Computing (ASC) program through contract PO1426332 with Sandia National Laboratories. We also acknowledge support by Freedom Photonics LLC under DOE SBIR/STTR Award DE-SC0013101 Photonic Integrated Circuits for Tbps Optical Packet Switching.",2374-0140
"National Science Foundation(National Science Foundation (NSF)); Center for Precision Assembly of Superstratic and Superatomic Solids at Columbia University, an NSF MRSEC; Department of Energy(United States Department of Energy (DOE)); Shanghai University of Electric Power, the Science and Technology Commission of Shanghai Municipality; U.S. Department of Energy (DOE)(United States Department of Energy (DOE))",,2019,,,,,0,10.1038/s41467-019-12487-w,,"Zang, Yaping; Zou, Qi; Fu, Tianren; Ng, Fay; Fowler, Brandon; Yang, Jingjing; Li, Hexing; Steigerwald, Michael L.; Nuckolls, Colin; Venkataraman, Latha",Directing isomerization reactions of cumulenes with electric fields,NATURE COMMUNICATIONS,Columbia University; Columbia University; Shanghai University of Electric Power,"We thank Marc H. Garner for discussions. This research was supported primarily by the National Science Foundation grant CHE-1764256 and DMR-1807580. This research was supported in part by the Center for Precision Assembly of Superstratic and Superatomic Solids at Columbia University, an NSF MRSEC (award number DMR-1420634). The synthesis and characterization of the molecules in this work was supported by the Department of Energy grant DE-SC0019440. Q.Z. and H.L. acknowledge financial support from Shanghai University of Electric Power, the Science and Technology Commission of Shanghai Municipality (14DZ2261000).",2041-1723
"National Key Research and Development Program of China; National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); State Grid Corporation of China; State Grid Jiangsu Electric Power Co., LTD.; State Grid Wuxi Power Supply Company",,2023,,,,,0,10.1038/s41467-023-40670-7,,"Wang, Jianxiao; Chen, Liudong; Tan, Zhenfei; Du, Ershun; Liu, Nian; Ma, Jing; Sun, Mingyang; Li, Canbing; Song, Jie; Lu, Xi; Tan, Chin-Woo; He, Guannan",Inherent spatiotemporal uncertainty of renewable power in China,NATURE COMMUNICATIONS,Peking University; Peking University; Columbia University; Shanghai Jiao Tong University; Tsinghua University; North China Electric Power University; Zhejiang University; Peking University; Tsinghua University; Tsinghua University; Tsinghua University; Stanford University; Peking University,"We thank the National Key Research and Development Program of China no. 2022YFB2405600 for supporting J.W. and G.H. and the National Natural Science Foundation of China under grant No. 72241429, No. 72271008, No. 72243007, and No. 52277092 for supporting J.S., G.H., X.L., and J.W. We also acknowledge the support of State Grid Corporation of China, State Grid Jiangsu Electric Power Co., LTD. and State Grid Wuxi Power Supply Company.",
"National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Key Project of Hebei Provincial Natural Science Foundation, China; State Key Laboratory of Fluid Power and Mechatronic Systems (Zhejiang University) Open Fund Project",,2018,,,,,0,10.1186/s10033-018-0231-8,,"Ba, Kai-Xian; Yu, Bin; Kong, Xiang-Dong; Li, Chun-He; Zhu, Qi-Xin; Zhao, Hua-Long; Kong, Ling-Jian",Parameters Sensitivity Characteristics of Highly Integrated Valve-Controlled Cylinder Force Control System,CHINESE JOURNAL OF MECHANICAL ENGINEERING,Yanshan University; Zhejiang University; Columbia University,"Supported by National Natural Science Foundation of China (Grant No. 51605417), Key Project of Hebei Provincial Natural Science Foundation, China (Grant No. E2016203264), and State Key Laboratory of Fluid Power and Mechatronic Systems (Zhejiang University) Open Fund Project (Grant No. GZKF-201502).",1000-9345
India Country Programme of the International Growth Centre; Tata Center for Technology and Design at the Massachusetts Institute of Technology; Smart Power India,,2017,,,,,0,10.1126/sciadv.1602153,,"Aklin, Michael; Bayer, Patrick; Harish, S. P.; Urpelainen, Johannes",Does basic energy access generate socioeconomic benefits? A field experiment with off-grid solar power in India,SCIENCE ADVANCES,Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh; University of Glasgow; New York University; McGill University; Columbia University,"We are grateful to the India Country Programme of the International Growth Centre, the Tata Center for Technology and Design at the Massachusetts Institute of Technology, and Smart Power India for funding this study.",2375-2548
This work was supported by the National Science Foundation Engineering Research Center for Power Optimization of Electro Thermal Systems (POETS) with Cooperative Agreement No. EEC-1449548. This work was partially supported by the Army (ARL); Towards a SiC; National Science Foundation Engineering Research Center for Power Optimization of Electro Thermal Systems (POETS)(National Science Foundation (NSF)); Army (ARL); Towards a SiC CMOS Process for Advanced Integration,,2023,,,,,0,10.1063/5.0156013,,"Shetty, Satish; Kuchuk, Andrian; Zamani-Alavijeh, Mohammad; Hassan, Ayesha; Eisner, Savannah R.; de Oliveira, Fernando Maia; Krone, Alexis; Harris, John; Thompson, Josh P.; Eldose, Nirosh M.; Mazur, Yuriy I.; Huitink, David; Senesky, Debbie G.; Mantooth, H. Alan; Salamo, Gregory J.",Thermal stability study of gallium nitride based magnetic field sensor,JOURNAL OF APPLIED PHYSICS,University of Arkansas System; University of Arkansas Fayetteville; University of Arkansas System; University of Arkansas Fayetteville; University of Arkansas System; University of Arkansas Fayetteville; Stanford University; Stanford University; University of Arkansas System; University of Arkansas Fayetteville; Columbia University,This work was supported by the National Science Foundation Engineering Research Center for Power Optimization of Electro Thermal Systems (POETS) with Cooperative Agreement No. EEC-1449548. This work was partially supported by the Army (ARL); Towards a SiC CMOS Process for Advanced Integration (Grant No. W911NF-21-2-0231).,0021-8979
"Mid-career Science Research Program through the National Foundation of Korea (NRF) - Ministry of Education, Science and Technology; Korea Institute of Energy Technology Evaluation and Planning(KETEP) of the Republic of Korea; Ministry of Trade, Industry and Energy (MOTIE) of the Republic of Korea; Korea Electric Power Corporation",,2020,,,,,0,10.1007/s42952-019-00016-w,,"Kim, Jaehee; Cheon, Sooyoung; Jin, Zhezhen",Bayesian multiple change-points estimation for hazard with censored survival data from exponential distributions,JOURNAL OF THE KOREAN STATISTICAL SOCIETY,Duksung Women's University; Korea University; Columbia University,"This research was supported by Mid-career Science Research Program through the National Foundation of Korea (NRF) funded by the Ministry of Education, Science and Technology (2018R1A2B6001664). It was also supported by the Korea Institute of Energy Technology Evaluation and Planning(KETEP) and the Ministry of Trade, Industry and Energy (MOTIE) of the Republic of Korea (no. 20161210200610) and by Korea Electric Power Corporation (Grant number: R18XA01).",1226-3192
